series,cond,n,hit2,hitH,e2,med_t,med_nb,med_mae,r24_mean,delta_hitH,q
BTCUSDT-1h,typ=2,736,0.626358695652174,0.9456521739130435,0.9171195652173914,1,0.0,23.95333750325777,21.55312457886686,0.029714555046554292,0.013
BTCUSDT-1h,rng_q=0,799,0.6683354192740926,0.9624530663329162,0.9361702127659575,1,0.0,17.835980090067874,26.890520013532836,0.052476449029720484,0.0
BTCUSDT-1h,rng_q=1,703,0.6301564722617354,0.9459459459459459,0.9288762446657184,1,0.0,21.56321865447726,46.9024563156012,0.029717546246471827,0.014
BTCUSDT-1h,rng_q=2,667,0.5577211394302849,0.9415292353823088,0.9145427286356822,2,0.0,26.81249577350046,25.198224186770666,0.023812408102842575,0.0601
BTCUSDT-1h,rng_q=3,619,0.47495961227786754,0.8966074313408724,0.8659127625201939,2,0.0,33.01395916316834,36.82267609394226,-0.03165185489365052,0.013
BTCUSDT-1h,rng_q=4,577,0.3535528596187175,0.8440207972270364,0.7885615251299827,4,0.0,45.49024513994643,31.591367882047305,-0.0946449129594773,0.0
BTCUSDT-1h,reg=1,1933,0.5468184169684428,0.9187790998448008,0.8903259182617693,2,0.0,22.036794195339162,17.948098504637024,-0.008595201831176902,0.4225
BTCUSDT-1h,reg=2,1416,0.5501412429378532,0.9265536723163842,0.893361581920904,2,0.0,30.816941130899018,37.91270509435963,0.007107802639626848,0.4716
BTCUSDT-1h,C1_wick8_trend_up,1211,0.5086705202312138,0.8967795210569777,0.8554913294797688,2,0.0,32.36131286638158,38.073972308541386,-0.04008213168211239,
BTCUSDT-1h,C2_wick8_sma_above,1814,0.5308710033076075,0.9090407938257994,0.8715545755237045,2,0.0,27.69850059635434,28.641759789877323,-0.02906365491694718,
BTCUSDT-1h,C3_wick8_quietvol,1240,0.6330645161290323,0.9548387096774194,0.9290322580645162,1,0.0,18.989108390551806,17.99699270708687,0.051309297912713436,
BTCUSDT-1h,C6_wick910_dipbuy,763,0.54521625163827,0.9174311926605505,0.8951507208387942,2,0.0,24.88255677046984,22.872033276593193,-0.0064734960404486674,
ETHUSDT-1h,uwd=7,333,0.6786786786786787,0.954954954954955,0.9369369369369369,1,0.0,32.18971519608225,21.467048695945348,0.03442073124877798,0.0591
ETHUSDT-1h,uwd=8,997,0.5977933801404213,0.9378134403209629,0.9087261785356068,2,0.0,31.636855406720674,12.740794581897541,0.01975252226004487,0.0896
ETHUSDT-1h,uwd=9,998,0.5470941883767535,0.9188376753507014,0.8917835671342685,2,0.0,31.3572209584376,13.82430937502356,-0.007342582160028255,0.4921
ETHUSDT-1h,uwd=10,1000,0.451,0.905,0.868,3,0.0,33.93146190933784,12.17930513120244,-0.027130584192439855,0.0264
